price,postal_code,address,bed,full_bath,half_bath,property_area,property_type
559900,T2W0X1,1120 SOUTHGLEN DR SW,4.0,2.0,1.0,1918.0,house
179900,T2E5W2,4 - 1615 MCGONIGAL DR NE,2.0,1.0,1.0,836.0,townhouse
219900,T2K6K5,106 - 6800 HUNTERVIEW DR NW,2.0,2.0,,829.0,condo
269900,T2B2K3,109 DOVERTREE PL SE,3.0,2.0,,740.0,house
449000,T2J6R5,48 DEERSAXON CIR SE,4.0,3.0,,1455.0,house
459000,T2Z2W6,32 INVERNESS BLVD SE,5.0,3.0,1.0,1811.0,house
1595000,T2S0N8,621 29 AVE SW,4.0,4.0,1.0,2905.0,house
297000,T2R0H8,206 - 817 15 AVE SW,1.0,1.0,,703.0,condo
332500,T3J1A9,271 FALWOOD WAY NE,4.0,2.0,,1035.0,house
189900,T2N2A3,210 - 429 14 ST NW,1.0,1.0,,625.0,condo
449900,T2P0W3,1412 - 222 RIVERFRONT AVE SW,1.0,2.0,,778.0,condo
375000,T2R1A7,406 - 1500 7 ST SW,2.0,2.0,,804.0,condo
464900,T2X0A7,233 CHAPALINA MEWS SE,4.0,3.0,1.0,1923.0,house
409900,T2C1S3,848 LYSANDER DR SE,4.0,2.0,1.0,1078.0,house
369900,T2X3K3,100 CHAPARRAL RIDGE CIR SE,3.0,3.0,1.0,1423.0,house
429000,T3J4S5,218 TARAVISTA ST NE,4.0,2.0,1.0,1434.0,house
284900,T2Z0L3,187 COPPERSTONE Cove SE,2.0,2.0,1.0,1343.0,townhouse
399800,T3A3X2,136 EDGEDALE WAY NW,3.0,2.0,,915.0,house
269800,T2A2J5,76 PENNSBURG WAY SE,5.0,2.0,,1033.0,house
229800,T2A2J5,68 PENNSBURG WAY SE,4.0,1.0,1.0,748.0,house
499000,T2E1P1,252 19 AVE NE,1.0,1.0,,825.0,house
465000,T2A4C3,5727 MAIDSTONE CRES NE,5.0,2.0,1.0,1120.0,house
1842500,T2E3A8,3908 CENTRE A ST NE,,,,9676.0,
509000,T3E3L5,3536 41 ST SW,4.0,2.0,,1057.0,house
260000,T3J0S7,8370 Saddlebrook  Drive NE,4.0,3.0,1.0,1220.0,townhouse
264990,T2A3H2,929 MARCOMBE DR NE,3.0,2.0,,739.0,house
739000,T2V3C4,83 HAVENHURST CRES SW,4.0,2.0,,1026.0,house
99000,T2K5W9,306 - 333 GARRY CRES NE,2.0,2.0,,1249.0,condo
329900,T2P4X2,8501 - 400 EAU CLAIRE AVE SW,1.0,1.0,,709.0,condo
349000,T2A3E5,153 MARGATE CLOSE NE,5.0,2.0,,1023.0,house
950000,T2T1T1,1925 31 AVE SW,4.0,2.0,1.0,2164.0,house
1188888,T2E5B6,833 BRIDGE CRES NE,5.0,4.0,1.0,2731.0,house
447888,T1Y1V6,212 PINEMONT RD NE,5.0,2.0,,1034.0,house
749900,T2K4X3,12 BEAVER DAM PL NE,8.0,4.0,,2029.0,house
429000,T2K1C1,6503 4 ST NW,5.0,2.0,,1078.0,house
299800,T2Y4X7,123 Eversyde Point SW,3.0,2.0,1.0,1398.0,townhouse
229900,T3C2Z1,3604 - 24 HEMLOCK CRES SW,1.0,1.0,,747.0,condo
319900,T3H5V9,768 73 Street SW,2.0,2.0,1.0,1183.0,townhouse
399900,T2R1S4,1702 - 188 15 AVE SW,2.0,2.0,,1112.0,condo
2795000,T3H5V4,9 ASPEN RIDGE CLOSE SW,5.0,5.0,3.0,5244.0,house
339900,T3K1V6,19 BERMONDSEY PL NW,5.0,2.0,,860.0,house
998000,T3H2G5,25 CHRISTIE BRIAR GREEN SW,5.0,3.0,1.0,2851.0,house
574900,T2X0N9,426 SILVERADO BLVD SW,3.0,2.0,1.0,2372.0,house
199900,T3E7R2,3105 - 5605 HENWOOD ST SW,1.0,1.0,,649.0,condo
459000,T2S2W7,2 - 3810 PARKHILL PL SW,2.0,2.0,1.0,1312.0,townhouse
724900,T2N0R9,2109 - 1234 5 AVE NW,2.0,2.0,,1566.0,townhouse
323800,T2J7H8,2106 - 2106 LAKE FRASER GREEN SE,2.0,2.0,,1226.0,condo
415900,T3P1J1,58 EVANSCREST RD NW,3.0,2.0,1.0,1440.0,house
779900,T3R0P2,106 SHERWOOD ST NW,4.0,3.0,1.0,2293.0,house
469900,T3G4E9,218 CITADEL PEAK CIR NW,4.0,3.0,,1114.0,house
479000,T3K4T6,46 HARVEST GROVE CLOSE NE,4.0,3.0,1.0,1790.0,house
329900,T2Z4N6,299 ELGIN VIEW SE,3.0,2.0,1.0,1055.0,house
419900,T3B6H3,303 - 4160 NORFORD AVE NW,2.0,2.0,,719.0,condo
1000000,T3C1R8,505 37 ST SW,5.0,4.0,1.0,2480.0,house
220000,T1Y4T1,46 - 131 TEMPLEHILL DR NE,3.0,1.0,1.0,1047.0,townhouse
385000,T2S3C9,113 - 60 24 AVE SW,2.0,2.0,,1032.0,condo
169000,T3A3H1,209 - 5204 DALTON DR NW,2.0,1.0,,852.0,condo
389900,T2C4B9,9182 21 ST SE,3.0,2.0,,1448.0,house
235000,T2Z1E1,1107 McKenzie Towne Row SE,2.0,1.0,,831.0,townhouse
1175000,T2E2E3,448 30 AVE NE,4.0,3.0,1.0,2807.0,house
324500,T2E1P1,250 19 AVE NE,2.0,1.0,,694.0,house
165000,T2B3G8,2808 Dovely Park SE,2.0,1.0,,629.0,townhouse
2995000,T3H5M1,15 SPRING VALLEY VIEW SW,4.0,4.0,1.0,4048.0,house
349900,T1Y2Z5,184 WHITEGLEN CRES NE,3.0,2.0,1.0,1061.0,house
